,message,fingers,tail,species,preprocessed_message,processedMessage,species_group
486,truotix joyzor hopium sapix ragex joyzor anxius,1,no,Emotivor,"['punched', 'joyzor', 'hop', 'wise', 'rage', 'joyzor', 'anxious']",punched joyzor hop wise rage joyzor anxious,Emotivor_Group1
487,tqustix dredax kurio shamex annstix fearjx,4,yes,Sentire,"['you', 'dreds', 'to', 'whom', 'shame', 'you', 'have', 'fear']",dreds shame fear,Sentire
488,terranix herba petros faunar aquon zquos,3,no,Aquari,"['earthling', 'grass', 'rock', 'fauna', 'water', 'those']",earthling grass rock fauna water,Aquari
489,drakos kzakos titanos cyclopix epikoz deitax herox goblax,3,no,Faerix,"['dragon', 'kzakos', 'the', 'titan', 'cyclops', 'epic', 'deity', 'hero', 'goblet']",dragon kzakos titan cyclops epic deity hero goblet,Faerix_Group1
490,robonix aeon technos techip datax,5,yes,Nexoon,"['robot', 'aeon', 'techno', 'technology', 'data']",robot aeon techno technology data,Nexoon
491,gryphox faerix fenix faerix,7,no,Mythron,"['faucet', 'to', 'be', 'done', 'hay', 'to', 'be', 'done']",faucet done hay done,Mythron
492,synapz holox quansix nanobyt neuraz neuraz nanozom cybron,3,no,Cybex,"['synopsis', 'hello', 'a', 'if', 'nanobyte', 'Neura', 'Neura', 'nanozom', 'cyber']",synopsis hello nanobyte neura neura nanozom cyber,Cybex
493,ragex ekstax pridius przdius,1,no,Emotivor,"['rage', 'eksta', 'earlier', 'przdius']",rage eksta earlier przdius,Emotivor_Group1
494,quantix aeop aeon,6,no,Nexoon,"['how', 'much', 'aeop', 'aeon']",much aeop aeon,Nexoon
495,empathix sadix disgux dredax pridius afgstix excitar,2,no,Emotivor,"['empathize', 'sad', 'discus', 'dreds', 'earlier', 'afgst', 'is', 'excited']",empathize sad discus dreds earlier afgst excited,Emotivor_Group2
496,quasar ustron nebulax meteorn,4,no,Quixnar,"['quasar', 'burn', 'fog', 'meteorn']",quasar burn fog meteorn,Quixnar
497,astron xeno ceaestar astron kometa,6,yes,Zorblax,"['astron', 'xeno', 'dinner', 'astron', 'comet']",astron xeno dinner astron comet,Zorblax
498,sporzom nimbus terram terranix aviana ekos nimbub,2,yes,Florian,"['sporzom', 'cloud', 'the', 'earth', 'earthling', 'avian', 'eco', 'nimbub']",sporzom cloud earth earthling avian eco nimbub,Florian
499,blastix titanos relikum drakos gryphox sirenix,4,yes,Mythron,"['blasted', 'the', 'titan', 'the', 'rest', 'dragon', 'faucet', 'siren']",blasted titan rest dragon faucet siren,Mythron
